Kod sklepu;Kod segmentu;Data od;Data do;Nazwa planogramu;Wersja planogramu;Opis planogramu;Numer półki;Pozycja;Index;Nazwa;Liczba twarzy;Sposób ekspozycji
Text;Int;Text;Text;Text;Text;Text;Int;Int;Text;Text;Int;Int
shop_planogram_assignment.shop.codes;shop_planogram_assignment.segment.id;shop_planogram_assignment.start_date_time;shop_planogram_assignment.end_date_time;planogram.name;planogram.version;planogram.description;planogram_element.shelf;planogram_element.position;planogram_element.sku.index;planogram_element.sku.name;planogram_element.faces_count;planogram_element.stack_count
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;1;108;12003987;RACUCHY Z JABŁKAMI 300G MW;1;2
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;1;109;12002243;PLACKI ZIEMNIACZANE 400G MW;1;2
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;1;110;12003573;NUGGETSY PANIEROWANE 250G + SOS MW;1;2
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;1;111;12003574;POLĘDWICZKI PANIEROWANE 200G + SOS MW;1;2
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;1;112;12003581;SKRZYDEŁKA PANIEROWANE 250G + SOS MW;1;2
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;2;92;12003601;KOTLET DROBIOWY Z MARCHEWKĄ 400G MW;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;2;93;12003572;KOTLET MIELONY WIEPRZ BURACZKI 400G MW;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;2;94;12002252;PIEROGI Z MIĘSEM W KUBKU 320G MW;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;2;95;12002242;PIEROGI RUSKIE W KUBKU 320G MW;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;2;96;12004470;DANIE KUR.GREEN CURRY Z RYŻ.JAŚ.350G MW;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;2;97;12004480;DANIE KURCZ RED CURRY Z RYŻ.JAŚ. 350G MW;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;2;98;10985950;KURCZAK TIKKA MASALA Z RYŻEM 450G;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;2;99;10985949;KURCZAK INDYJSKI JALFREZI Z RYŻEM 450G;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;2;100;10931546;ZAPIEKANKA Z PIECZARKAMI VIRTU 235G;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;2;101;10931545;ZAPIEKANKA Z SZYNKĄ VIRTU 235G;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;2;102;10931554;TORTILLA LATYNOSKA 250G KONSPOL;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;2;103;10931553;TORTILLA ARABSKA 250G KONSPOL;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;3;86;12004987;PIECZONY SCHAB W SOSIE 400G MW;1;2
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;3;87;12004979;KACZKA Z WARZYWAMI I MAKARONEM 400G M...;1;2
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;3;88;12004980;KURCZAK W SOSIE SŁODKO-KWAŚNYM 400G ...;1;2
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;3;89;12004968;MAKARON PENNE PEPPERONI 400G MW;1;2
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;3;90;12004954;SPAGHETTI BOLOGNESE 400G MW;1;2
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;3;91;12005007;SPAGHETTI CARBONARA 400G MW;1;2
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;4;75;12004162;SAŁATKA LUNCHBOX ROMANTICA DK 155G MW;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;4;76;12004189;SAŁATKA LUNCHBOX KURCZAK SER DK 195G ...;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;4;77;12005577;SAŁATKA Z KREWETKAMI POKE BOWL 330G;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;4;78;12004330;SAŁATKA Z ŁOSOSIEM POKE BOWL 330G;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;4;79;12004462;SAŁATKA SHAKER MOZZARELLA PESTO 130G ...;1;1
